Champion:,Health,Health Scaling,Health Regen,Health Regen Scaling,Mana,Mana Scaling,Mana Regen,Mana Regen Scaling,Attack Damage,Attack Damage Scaling,Attack Speed,Attack Speed Scaling,Armor,Armor Scaling,Magic Resist,Magic Resist Scaling,Movement Speed,Range
Dr. Mundo,582.52,89,8,0.75,0,0,0,0,61.27,3.5,0.721,2.80%,36,3.5,32.1,1.25,345,125
Draven,605,90,3.75,0.7,360.56,39,8.042,0.65,60,3.61,0.679,2.70%,29,3.3,30,0.5,330,550
Ekko,585,85,9,0.9,280,50,7,0.8,58,3,0.688,3.30%,32,3,32,1.25,340,125
Elise,534,93,5.5,0.6,324,50,6,0.8,55,3,0.625,1.75%,27,3.35,30,0.5,330,550
Evelynn,572,84,8.5,0.75,315.6,42,8.108,0.6,61,3,0.667,2.10%,37,3.5,32.1,1.25,335,125
Ezreal,530,88,4,0.55,375,50,8.5,0.65,60,2.5,0.625,2.50%,22,3.5,30,0.5,325,550
Fiddlesticks,580.4,92,5.5,0.6,500,28,8,0.8,55.36,2.625,0.625,2.11%,34,3.5,30,0.5,335,480
Fiora,550,85,8.5,0.55,300,40,8,0.7,68,3.3,0.69,3.20%,33,3.5,32.1,1.25,345,150
Fizz,570,98,8,0.7,317.2,37,6,0.8,58.04,3,0.658,3.10%,22.412,3.4,32.1,1.25,335,175
Galio,562,112,8,0.8,500,40,9.5,0.7,59,3.5,0.625,1.50%,24,3.5,32,1.25,335,150
Gangplank,540,82,6,0.6,282,40,7.5,0.7,64,3,0.658,3.20%,35,3,32.1,1.25,345,125
Garen,620,84,8,0.5,0,0,0,0,66,4.5,0.625,3.65%,36,3,32.1,0.75,340,175
Gnar,510,65,4.5,1.75,100,0,0,0,59,3,0.625,6.00%,32,2.5,30,0.5,335,400
Gragas,600,95,5.5,0.5,400,47,6,0.8,64,3.5,0.675,2.05%,35,3.6,32.1,1.25,330,125
Graves,555,92,8,0.7,325,40,8,0.7,68,3,0.475,2.60%,33,3.4,32,1.25,340,425
Hecarim,580,90,7,0.75,277.2,40,6.5,0.6,66,3.2,0.67,2.50%,36,4,32.1,1.25,345,175
Heimerdinger,488,87,7,0.55,385,20,8,0.8,55.536,2.7,0.625,1.36%,19.04,3,30,0.5,340,550
Illaoi,585.6,95,9.5,0.8,300,40,7.5,0.75,68,5,0.571,2.50%,35,3.8,32.1,1.25,340,125
Irelia,580,95,8.5,0.85,350,30,8,0.8,63,4,0.656,2.50%,36,3,32,1.25,335,200
Ivern,585,95,7,0.85,450,60,6,0.75,50,3,0.644,3.40%,27,3.5,32.1,1.25,330,475
Janna,500,70,5.5,0.55,350,64,11.5,0.4,46,1.5,0.625,2.95%,28,3.8,30,0.5,315,550
Jarvan IV,570,90,8,0.7,300,40,6.5,0.45,64,3.4,0.658,2.50%,34,3.6,32.1,1.25,340,175
Jax,592.8,85,8.5,0.55,338.8,32,7.576,0.7,68,3.375,0.638,3.40%,36,3,32.1,1.25,350,125
Jayce,560,90,6,0.6,375,45,6,0.8,54,4.25,0.658,3.00%,27,3.5,30,0.5,335,125
Jhin,585,93,3.75,0.55,300,50,6,0.8,59,4.7,0.625,3.00%,24,3.5,30,0.5,330,550
Jinx,610,86,3.75,0.5,245,45,6.7,1,57,3.4,0.625,1.00%,28,3.5,30,0.5,325,525
Kai'Sa,600,88,3.5,0.55,344.88,38,8.2,0.45,59,1.7,0.644,1.80%,28,3,30,0.5,335,525
Kalista,534,100,3.75,0.55,250,45,6.3,0.4,69,3.5,0.694,4.00%,21,4,30,0.5,325,525
Karma,534,95,5.5,0.55,374,50,11.5,0.5,53.544,3.3,0.625,2.30%,26,3.8,30,0.5,335,525
Karthus,550,87,6.5,0.55,467,30.5,8,0.8,45.66,3.25,0.625,2.11%,20.88,3.5,30,0.5,335,450
Kassadin,576,90,6,0.5,397.6,67,6,0.8,58.852,3.9,0.64,3.70%,19,2.8,30,0.5,335,150
Katarina,602,94,7.5,0.7,0,0,0,0,58,3.2,0.658,2.74%,27.88,3.5,32.1,1.25,340,125
Kayle,600,85,5,0.5,330,50,8,0.8,50,2.5,0.625,1.50%,26,3,34,0.5,335,175
Kayn,585,85,8,0.75,410,50,11.5,0.95,68,3.3,0.669,2.70%,38,3.3,32.1,1.25,340,175
Kennen,541,84,5.5,0.65,200,0,50,0,48,3.75,0.625,3.40%,29,3.75,30,0.5,335,550
Kha'Zix,572.8,85,7.5,0.75,327.2,40,7.59,0.5,63,3.1,0.668,2.70%,36,3,32.1,1.25,350,125
Kindred,540,85,7,0.55,300,35,7,0.4,65,2.5,0.625,3.50%,29,3.5,30,0.5,325,500
Kled,340,70,6,0.75,100,0,0,0,65,3.5,0.625,3.50%,35,4,32.1,1.25,285,250
Kled & Skaarl,740,130,6,0.75,100,0,0,0,65,3.5,0.625,3.50%,35,4,32.1,1.25,345,125
Kog'Maw,565,90,3.75,0.55,325,40,8.75,0.7,61,3.11,0.665,2.65%,24,3.5,30,0.5,330,500
LeBlanc,528,92,7.5,0.55,334,50,6,0.8,54.88,3.5,0.625,1.40%,21.88,3.5,30,0.5,340,525
Lee Sin,575,85,7.5,0.7,200,0,50,0,70,3.2,0.651,3.00%,33,3.7,32.1,1.25,345,125
Leona,576.16,87,8.5,0.85,302.2,40,6,0.8,60.04,3,0.625,2.90%,47,3.6,32.1,1.25,335,125
Lillia,580,90,9,0.75,410,50,0,0,61,3.1,0.625,2.70%,20,4,32.1,0.5,330,325
Lissandra,550,90,7,0.55,475,30,8,0.4,53,2.7,0.656,1.36%,22,3.7,30,0.5,325,550
Lucian,571,86,3.75,0.65,348.88,38,8.176,0.7,64,2.75,0.638,3.30%,28,3,30,0.5,335,500
Lulu,525,74,6,0.6,350,55,11,0.6,47,2.6,0.625,2.25%,29,3.7,30,0.5,330,550
Lux,490,85,5.5,0.55,480,23.5,8,0.8,53.54,3.3,0.669,1.00%,18.72,4,30,0.5,330,550
Malphite,574.2,90,7,0.55,282.2,40,7.324,0.55,61.97,4,0.736,3.40%,37,3.75,32.1,1.25,335,125
Malzahar,537,87,6,0.6,375,27.5,8,0.8,55,3,0.625,1.50%,18,3.5,30,0.5,335,500
Maokai,565,95,5,0.75,375,43,7.2,0.6,63.54,3.3,0.8,2.13%,39,4,32.1,1.25,335,125
Master Yi,598.56,92,7.5,0.65,250.56,42,7.256,0.45,66,3,0.679,2.00%,33,3,32.1,1.25,355,125
Mega Gnar,610,108,4.5,1.75,100,0,0,0,65,5.5,0.625,0.50%,35.5,5.5,33.5,4,335,175
Miss Fortune,570,93,3.75,0.65,325.84,35,8.042,0.65,50,2.7,0.656,2.25%,28,3,30,0.5,325,550
Mordekaiser,575,90,5,0.75,0,0,0,0,61,4,0.625,1.00%,37,3,32,1.25,335,175
Morgana,560,90,5.5,0.4,340,60,11,0.4,56,3.5,0.625,1.53%,25,3.8,30,0.5,335,450
Nami,475,74,5.5,0.55,365,43,11.5,0.4,51.208,3.1,0.644,2.61%,29,4,30,0.5,335,550
Nasus,561.2,90,9,0.9,325.6,42,7.44,0.5,67,3.5,0.638,3.48%,34,3.5,32.1,1.25,350,125
Nautilus,576.48,86,8.5,0.55,400,47,8.626,0.5,61,3.3,0.706,1.00%,39,3.75,32.1,1.25,325,175
Neeko,540,90,7.5,0.75,450,30,7,0.7,48,2.5,0.625,3.50%,21,4,30,0.5,340,550
Nidalee,545,85,6,0.6,295.6,45,6,0.8,61,3.5,0.638,3.22%,28,3.5,30,0.5,335,525
Nocturne,585,85,7,0.75,275,35,7,0.45,62,3.1,0.721,2.70%,38,3.5,32.1,0.75,345,125
Nunu & Willump,570,82,5,0.8,280,42,7,0.5,61,3,0.625,2.25%,32,3,32.1,1.25,345,125
Olaf,597.24,93,8.5,0.9,315.6,42,7.466,0.575,68,3.5,0.694,2.70%,35,3,32.1,1.25,350,125
Orianna,530,91,7,0.55,418,25,8,0.8,40.368,2.6,0.658,3.50%,17.04,3,26,0.5,325,525
Ornn,590,95,9,0.9,340.6,45,8.01,0.6,69,3.5,0.625,2.00%,36,4,32.1,1.25,335,175
Pantheon,580,95,10,0.65,317.12,31,7.356,0.45,64,3.3,0.644,2.95%,40,3.75,28,1.25,355,175
Poppy,540,90,8,0.8,280,40,7,0.7,64,4,0.625,2.50%,38,3.5,32,1.25,345,125
Pyke,600,90,7,0.5,415,50,8,1,62,2,0.667,2.50%,45,3.5,32,1.25,330,150
Qiyana,590,90,8.5,0.65,320,50,8,0.7,64,3.1,0.625,2.10%,28,3.5,32.1,1.25,335,150
Quinn,532.8,85,5.5,0.55,268.8,35,6.972,0.4,59,2.4,0.668,3.10%,28,3.5,30,0.5,335,525
Rakan,540,85,5,0.5,315,50,8.75,0.5,62,3.5,0.635,3.00%,32,3.9,32.1,1.25,335,300
Rammus,564.48,95,8,0.55,310.44,33,7.84,0.5,55.88,3.5,0.656,2.22%,36,4.3,32.1,1.25,335,125
Rek'Sai,570,85,7.5,0.65,100,0,0,0,64,3,0.667,2.00%,36,3.75,32.1,1.25,335,175
Renekton,575,87,8,0.75,100,0,0,0,69,3.75,0.665,2.75%,35,4,32.1,1.25,345,125
Rengar,585,90,7,0.5,4,0,0,0,68,3,0.667,3.00%,34,3,32.1,1.25,345,125
Riven,560,86,8.5,0.5,0,0,0,0,64,3,0.625,3.50%,33,3.2,32.1,1.25,340,125
Rumble,589,85,8,0.6,100,0,0,0,61,3.2,0.644,1.85%,31,3.5,32.1,1.25,345,125
Ryze,575,98,8,0.8,300,50,8,1,58,3,0.625,2.11%,22,3,36,0.5,340,550
Sejuani,560,100,8.5,1,400,40,7,0.7,66,4,0.688,3.50%,34,4.25,32.1,1.25,340,150
Senna,520,75,3.5,0.55,350,45,11.5,0.4,50,0,0.625,4.00%,28,3.5,30,0.5,330,600
Sett,600,93,7,0.5,0,0,0,0,60,4,0.625,1.75%,33,4,32,1.25,340,125
Shaco,587,89,8.5,0.55,297.2,40,7.156,0.45,63,3,0.694,3.00%,30,3.5,32.1,1.25,350,125
Shen,540,85,8.5,0.75,400,0,50,0,60,3,0.751,3.00%,34,3,32.1,1.25,340,125
Shyvana,595,95,8.5,0.8,100,0,0,0,66,3.4,0.658,2.50%,38,3.35,32.1,1.25,350,125
Singed,580,85,9.5,0.55,330,45,7.5,0.55,63,3.375,0.613,1.90%,34,3.5,32.1,1.25,345,125
Sion,545,73,7.5,0.8,330,42,8,0.6,68,4,0.679,1.30%,32,3,32.1,1.25,345,175
Sivir,562,90,3.25,0.55,284,50,8,0.9,63,3,0.625,1.60%,26,3.25,30,0.5,335,500
Skarner,601.28,90,9,0.85,320,40,7.206,0.45,65,4.5,0.625,2.10%,38,3.8,32.1,1.25,335,125
Sona,482.36,77,5.5,0.55,340.6,45,11.5,0.4,49,3,0.644,2.30%,28,3.3,30,0.5,325,550
Soraka,535,74,2.5,0.5,425,40,11.5,0.4,50,3,0.625,2.14%,32,3.8,30,0.5,325,550
Swain,525,85,7,0.65,468,28.5,8,0.8,58,2.7,0.625,2.11%,22.72,4,30,0.5,335,525
Sylas,525,115,9,0.9,280,50,7,0.8,61,3,0.645,3.50%,27,4,32,1.75,340,175
Syndra,523,90,6.5,0.6,480,40,8,0.8,53.872,2.9,0.625,2.00%,24.712,3.4,30,0.5,330,550
Tahm Kench,600,100,6.5,0.55,325,40,8,1,56,3.2,0.658,2.50%,47,3.5,32.1,1.25,335,175
Taliyah,532,90,7,0.7,425,30,9.335,0.85,58,3.3,0.625,1.36%,20,3.5,30,0.5,335,525
Talon,588,95,8.5,0.75,377.2,37,7.6,0.8,68,3.1,0.625,2.90%,30,3.5,39,1.25,335,125
Taric,575,85,6,0.5,300,60,8.5,0.8,55,3.5,0.625,2.00%,40,3.4,32.1,1.25,340,150
Teemo,528,90,5.5,0.65,334,20,9.6,0.45,54,3,0.69,3.38%,24.3,3.75,30,0.5,330,500
Thresh,560.52,93,7,0.55,273.92,44,6,0.8,56,2.2,0.625,3.50%,28,0,30,0.5,335,450
Tristana,559,88,3.75,0.65,250,32,7.2,0.45,61,3.3,0.656,1.50%,26,3,30,0.5,325,525
Trundle,616,96,6,0.75,281,45,7.5,0.6,68,3,0.67,2.90%,37,2.7,32.1,1.25,350,175
Tryndamere,625.64,98,8.5,0.9,100,0,0,0,69,3.7,0.67,2.90%,33,3.1,32.1,1.25,345,125
Twisted Fate,534,94,5.5,0.6,333,19,8,0.8,52,3.3,0.651,3.22%,21,3.15,30,0.5,335,525
Twitch,612,86,3.75,0.6,287.2,40,7.256,0.45,59,3.11,0.679,3.38%,27,3,30,0.5,330,550
Udyr,594,99,6,0.75,271,30,7.5,0.45,66,5,0.658,2.67%,34,4,32.1,1.25,350,125
Urgot,585,88,7.5,0.7,340,45,7.25,0.8,63,4,0.625,3.75%,36,4.25,32.1,1.25,330,350
Varus,530,91,3.5,0.55,360,33,8,0.8,61,3,0.658,3.00%,27,3.4,30,0.5,330,575
Vayne,515,89,3.5,0.55,231.8,35,6.972,0.4,60,2.36,0.658,3.30%,23,3.4,30,0.5,330,550
Veigar,505,94,6.5,0.6,490,26,8,0.8,52,2.7,0.625,2.24%,23,3.75,30,0.5,340,550
Vel'Koz,520,88,5.5,0.55,469,21,8,0.8,54.9379,3.1416,0.625,1.36%,21.88,3.5,30,0.5,340,525
Vi,585,85,10,1,295,45,8,0.65,63,3.5,0.644,2.00%,30,4,32.1,1.25,340,125
Viktor,530,90,8,0.65,405,25,8,0.8,53,3,0.658,2.11%,23,4,30,0.5,335,525
Vladimir,537,96,7,0.6,2,0,0,0,55,3,0.658,2.00%,23,3.3,30,0.5,330,450
Volibear,580,90,9,0.75,350,50,6.25,0.5,60,3,0.625,2.00%,31,4,32,1.25,340,150
Warwick,550,85,4,0.75,280,35,7.466,0.575,65,3,0.638,2.30%,33,3.2,32.1,1.25,335,125
Wukong,540,85,4,0.65,300,45,8,0.65,68,4,0.711,3.00%,31,3.5,28,1.25,345,175
Xayah,590,88,3.25,0.75,340,40,8.25,0.75,60,2.9,0.625,3.30%,25,3,30,0.5,325,525
Xerath,526,92,5.5,0.55,459,22,8,0.8,54.7,3,0.625,1.36%,21.88,3.5,30,0.5,340,525
Xin Zhao,570,92,8,0.7,273.8,35,7.256,0.45,66,3,0.645,3.50%,35,3.5,32.1,1.25,345,175
Yasuo,490,87,6.5,0.9,100,0,0,0,60,3.2,0.697,2.50%,30,3.4,30,1.25,345,175
Yorick,580,100,8,0.8,300,40,7.5,0.75,62,5,0.625,2.00%,39,4,32,1.25,340,175
Yuumi,480,70,7,0.55,400,45,10,0.4,55,3.1,0.625,1.00%,25,3,25,0.3,330,500
Zac,615,95,8,0.5,0,0,0,0,60,3.4,0.736,1.60%,33,3.5,32,1.25,340,175
Zed,584,85,7,0.65,200,0,50,0,63,3.4,0.651,3.30%,32,3.5,32.1,1.25,345,125
Ziggs,536,92,6.5,0.6,480,23.5,8,0.8,54.208,3.1,0.656,2.00%,21.544,3.3,30,0.5,325,550
Zilean,504,82,5.5,0.5,452,30,11.335,0.8,51.64,3,0.625,2.13%,24,3.8,30,0.5,335,550
Zoe,560,92,6.5,0.6,425,25,8,0.65,58,3.3,0.625,2.50%,20.8,3.5,30,0.5,340,550
Zyra,504,79,5.5,0.5,418,25,13,0.4,53.376,3.2,0.625,2.11%,29,3,30,0.5,340,575
